user_id,category_id
d9b6cb85-b36e-49bd-927a-9159ab39df97,f769464f-0000-46ed-bd35-193dedbb5364
d9b6cb85-b36e-49bd-927a-9159ab39df97,8e47413d-d605-4917-a9e3-c6fab2b5aa12
d9b6cb85-b36e-49bd-927a-9159ab39df97,f4a6b24b-f405-46c0-81ec-7ad5109e5f31
d9b6cb85-b36e-49bd-927a-9159ab39df97,d11b1e67-a288-4566-8fbd-64a3bdd7f1ba
d9b6cb85-b36e-49bd-927a-9159ab39df97,0e5498aa-aecd-414c-a1a4-458f8d588375
3e805d41-4c84-47ae-9d47-50fb27feb134,1c6758c5-1160-4d76-8d59-4ea69410e307
3e805d41-4c84-47ae-9d47-50fb27feb134,0e5498aa-aecd-414c-a1a4-458f8d588375
3e805d41-4c84-47ae-9d47-50fb27feb134,d11b1e67-a288-4566-8fbd-64a3bdd7f1ba
2a38e28a-4060-46c9-bbf3-6c3e6540667e,104bdfde-0fb6-49aa-86eb-a16aa25cfa12
2a38e28a-4060-46c9-bbf3-6c3e6540667e,f4a6b24b-f405-46c0-81ec-7ad5109e5f31
2a38e28a-4060-46c9-bbf3-6c3e6540667e,9656b6a1-075d-4772-b4d9-ce3c84e19e65
2a38e28a-4060-46c9-bbf3-6c3e6540667e,6c633c0f-7aae-4fa8-954d-5736852147f2
eed79ceb-f6df-440a-be1f-f6da8bdd1892,4b6422e5-9222-44c4-9615-b1ca0542d1ca
eed79ceb-f6df-440a-be1f-f6da8bdd1892,8e47413d-d605-4917-a9e3-c6fab2b5aa12
d88f1163-f2fd-4bc4-b1b5-089a5babfee1,ace04fd8-9b9c-4a85-ba48-3a182126c223
d88f1163-f2fd-4bc4-b1b5-089a5babfee1,9bdf1a84-1e77-45fe-a7ff-7dda4a727023
d88f1163-f2fd-4bc4-b1b5-089a5babfee1,9656b6a1-075d-4772-b4d9-ce3c84e19e65
d88f1163-f2fd-4bc4-b1b5-089a5babfee1,8e47413d-d605-4917-a9e3-c6fab2b5aa12
7b6eb24a-dd06-4950-b0bf-d1924081e77f,ace04fd8-9b9c-4a85-ba48-3a182126c223
7b6eb24a-dd06-4950-b0bf-d1924081e77f,a03c94c2-51c3-49cf-9728-d95b668b9adb
f367c0f5-b410-4aec-b1cf-0fc74a4ab493,2122b2ca-16dd-4f00-960e-8e2783d0f917
f367c0f5-b410-4aec-b1cf-0fc74a4ab493,046d2a05-8bda-4965-9fe3-d65726764e48
0426106b-2aa8-4364-b3de-a44cf15dde9c,046d2a05-8bda-4965-9fe3-d65726764e48
0426106b-2aa8-4364-b3de-a44cf15dde9c,6c633c0f-7aae-4fa8-954d-5736852147f2
0426106b-2aa8-4364-b3de-a44cf15dde9c,fc45ee87-0734-42c8-942b-1573323061ac
3953459c-ad86-4373-b536-0786480c9823,83106139-7db2-4587-bc5e-99e9198ffb54
3953459c-ad86-4373-b536-0786480c9823,a03c94c2-51c3-49cf-9728-d95b668b9adb
3990df71-5528-4679-9458-dce955d4f1b7,f4a6b24b-f405-46c0-81ec-7ad5109e5f31
3990df71-5528-4679-9458-dce955d4f1b7,da3ac098-0cb0-4c0f-b8e6-db0064a60db7
3990df71-5528-4679-9458-dce955d4f1b7,f769464f-0000-46ed-bd35-193dedbb5364
3990df71-5528-4679-9458-dce955d4f1b7,2122b2ca-16dd-4f00-960e-8e2783d0f917
